,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,CurrentSalary,CurrentTeam,PrevSal,NextSal,NameYear,PrevYear,NextYear,SalClean,SalNorm,PrevSalClean,NextSalClean,PrevSalNorm,NextSalNorm
0,Precious Achiuwa,C,22,TOR,73,28,23.6,3.6,8.3,0.439,0.8,2.1,0.359,2.9,6.1,0.468,0.486,1.1,1.8,0.595,2.0,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1,0.259,6.9,2.3,-2.6,-0.6,21.7,2.1,0.217,-2.0,8.7,0.4,12.7,1.1,11.3,14.9,0.503,18.5,-0.2,2.5,0.07,"$4,379,527",TOR,"$2,711,280",$4379527,2022,2021,2022,,,2.71128,4.379527,3.280650247122244,4.817497408653107
1,Steven Adams,C,28,MEM,76,75,26.3,2.8,5.1,0.547,0.0,0.0,0.0,2.8,5.0,0.548,0.547,1.4,2.6,0.543,4.6,5.4,10.0,3.4,0.9,0.8,1.5,2.0,6.9,0.003,16.1,2.7,2.0,1.0,22.0,3.0,0.518,1.0,17.9,3.8,17.6,1.6,19.6,19.9,0.56,12.0,2.0,6.8,0.163,"$12,600,000",MEM,"$17,073,171",$12600000,2022,2021,2022,,,17.073171,12.6,20.658546022657315,13.860050948202659
2,Bam Adebayo,C,24,MIA,56,56,32.6,7.3,13.0,0.557,0.0,0.1,0.0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1,0.008,17.5,2.6,3.8,2.1,26.1,3.5,0.466,1.7,8.7,3.6,21.8,2.2,14.4,17.5,0.608,25.0,2.7,7.2,0.188,"$32,600,060",MIA,"$28,103,550",$32600060,2022,2021,2022,,,28.10355,32.60006,34.00531050002668,35.86019781860822
3,Santi Aldama,PF,21,MEM,32,0,11.3,1.7,4.1,0.402,0.2,1.5,0.125,1.5,2.6,0.56,0.424,0.6,1.0,0.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,0.364,7.7,2.5,-5.7,-1.5,16.1,0.4,0.242,-4.2,9.4,-0.1,10.2,0.8,9.9,12.6,0.452,18.4,-0.3,0.3,0.044,"$2,194,200",MEM,"$1,994,520",$2194200,2022,2021,2022,,,1.99452,2.1942,2.4133702645577952,2.413628872265577
8,Grayson Allen,SG,26,MIL,66,61,27.3,3.9,8.6,0.448,2.4,5.9,0.409,1.5,2.7,0.533,0.588,1.0,1.1,0.865,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1,0.684,7.6,1.0,0.4,-0.2,10.9,1.4,0.13,0.6,1.9,2.8,12.7,1.2,6.7,6.5,0.609,15.2,1.1,4.2,0.11,"$8,500,000",MIL,"$4,054,695",$8925000,2022,2021,2022,,,4.054695,8.925,4.906183114158377,9.817536088310218
9,Jarrett Allen,C,23,CLE,56,56,32.3,6.6,9.7,0.677,0.0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1,0.018,8.2,3.7,3.9,1.2,24.5,3.0,0.428,2.7,12.0,5.4,23.0,1.2,12.7,18.4,0.698,18.1,2.7,8.5,0.224,"$20,000,000",CLE,"$20,000,000",$20000000,2022,2021,2022,,,20.0,20.0,24.200010674826974,22.00008087016295
10,Jose Alvarado,PG,23,NOP,54,1,15.4,2.4,5.4,0.446,0.6,2.0,0.291,1.8,3.4,0.538,0.5,0.7,1.0,0.679,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,6.1,0.374,26.9,0.8,1.9,2.4,10.2,1.1,0.18,-0.5,3.2,1.0,16.4,4.2,11.2,6.6,0.52,18.4,0.8,2.1,0.121,"$1,836,096",NOP,"$1,500,000",$1836096,2022,2021,2022,,,1.5,1.836096,1.8150008006120233,2.0197130242691355
14,Kyle Anderson,PF,28,MEM,69,11,21.5,3.0,6.8,0.446,0.5,1.6,0.33,2.5,5.2,0.481,0.484,1.0,1.5,0.638,1.0,4.3,5.3,2.7,1.1,0.7,1.0,1.6,7.6,0.232,16.2,2.7,1.2,2.1,21.6,2.5,0.224,-0.9,4.8,1.0,14.4,2.5,12.1,13.0,0.506,16.2,1.2,3.5,0.113,"$9,219,512",MIN,"$9,937,150",$9219512,2022,2021,2022,,,9.93715,9.219512,12.023956803867847,10.141500479171887
15,Giannis Antetokounmpo,PF,27,MIL,67,67,32.9,10.3,18.6,0.553,1.1,3.6,0.293,9.2,15.0,0.616,0.582,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,0.194,31.7,4.0,11.2,3.5,30.4,3.7,0.615,7.6,6.6,9.2,32.1,1.6,12.2,18.7,0.633,34.9,7.4,12.9,0.281,"$45,640,084",MIL,"$39,344,970",$45640084,2022,2021,2022,,,39.34497,45.640084,47.60743470003736,50.20427694605151
18,Cole Anthony,PG,21,ORL,65,65,31.7,5.5,14.0,0.391,2.0,6.0,0.338,3.5,8.0,0.432,0.464,3.3,3.9,0.854,0.5,4.9,5.4,5.7,0.7,0.3,2.6,2.6,16.3,0.429,28.9,0.8,-1.2,-0.6,16.2,1.7,0.277,-0.6,1.6,-0.1,13.5,1.1,14.2,8.9,0.519,25.1,0.4,1.6,0.038,"$5,539,771",ORL,"$3,449,400",$5539771,2022,2021,2022,,,3.4494,5.539771,4.173775841087408,6.093770500109175
