NameYear,2023,PrevYear,Name,Pos,Type,OTm,PrevStats,NTm,ID,Weight,Height,Age,Tm,G,GS,MP,FG%,3P,3P%,3PA,FT,FT%,FTA,ORB,TRB,AST,STL,BLK,TOV,PTS,USG%,TS%,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PrevSal,NextSal,Unnamed: 0,TeamOrTot,FG,FGA,2P,2PA,2P%,eFG%,DRB,PF,3PAr,AST%,BLK%,DRB%,FTr,ORB%,STL%,TOV%,TRB%,Salary,Team,PrevSalClean,NextSalClean,PrevSalNorm,NextSalNorm
Chris_Paul_2020,,2020.0,Chris Paul,G,UFA,PHO,"16.4 Pts, 4.5 Reb, 8.9 Ast",PHO,/players/p/paulch01.html,175.0,6-0,35.0,PHO,70.0,70.0,31.4,0.499,1.5,0.395,3.7,2.4,0.934,2.6,0.4,4.5,8.9,1.4,0.3,2.2,16.4,22.6,0.599,21.4,6.5,2.7,9.2,0.201,3.5,1.1,4.6,3.6,"$41,358,814","$30,800,000",,,,,,,,,,,,,,,,,,,,,,41.358814,30.8,42.59950262961334,30.8
Kawhi_Leonard_2020,,2020.0,Kawhi Leonard,F,UFA,LAC,"24.8 Pts, 6.5 Reb, 5.2 Ast",LAC,/players/l/leonaka01.html,225.0,6-7,29.0,LAC,52.0,52,34.1,.512,1.9,.398,4.9,5.0,.885,5.7,1.1,6.5,5.2,1.6,0.4,2.0,24.8,28.6,0.622,26.0,6.4,2.4,8.8,0.238,6.0,1.3,7.3,4.2,"$34,379,100","$39,344,900",,,,,,,,,,,,,,,,,,,,,,34.3791,39.3449,35.41041,39.3449
Enes_Freedom_2020,,2020.0,Enes Freedom,C,UFA,POR,"11.2 Pts, 11.0 Reb, 1.2 Ast",BOS,/players/k/kanteen01.html,250.0,6-10,28.0,POR,72.0,35.0,24.4,0.604,0.0,0.25,0.1,1.8,0.774,2.3,3.9,11.0,1.2,0.5,0.7,1.1,11.2,17.4,0.636,22.4,5.7,1.7,7.5,0.204,2.1,-1.4,0.6,1.2,"$5,005,350","$2,641,691",,,,,,,,,,,,,,,,,,,,,,5.00535,2.641691,5.155501327652557,2.641691
DeMar_DeRozan_2020,,2020.0,DeMar DeRozan,G-F,UFA,SAS,"21.6 Pts, 4.2 Reb, 6.9 Ast",CHI,/players/d/derozde01.html,220.0,6-6,31.0,SAS,61.0,61.0,33.7,0.495,0.3,0.257,1.2,6.3,0.88,7.2,0.7,4.2,6.9,0.9,0.2,2.0,21.6,26.1,0.591,22.0,5.9,1.5,7.4,0.172,3.2,-0.1,3.1,2.6,"$27,739,975","$26,000,000",,,,,,,,,,,,,,,,,,,,,,27.739975,26.0,28.572123416254353,26.0
John_Collins_2020,,2020.0,John Collins,F,RFA,ATL,"17.6 Pts, 7.4 Reb, 1.2 Ast",ATL,/players/c/collijo01.html,235.0,6-9,23.0,ATL,63.0,63,29.3,0.556,1.3,0.399,3.3,2.7,0.833,3.2,1.9,7.4,1.2,0.5,1.0,1.3,17.6,22.2,0.645,20.6,4.8,1.9,6.7,0.174,2.5,-0.2,2.3,2.0,"$4,137,302","$23,000,000",,,,,,,,,,,,,,,,,,,,,,4.137302,23.0,4.261413478358072,23.0
Jarrett_Allen_2020,,2020.0,Jarrett Allen,C-F,RFA,CLE,"12.8 Pts, 10.0 Reb, 1.7 Ast",CLE,/players/a/allenja01.html,243.0,6-11,22.0,TOT,63.0,45.0,29.6,0.618,0.1,0.316,0.3,3.2,0.703,4.6,3.1,10.0,1.7,0.5,1.4,1.6,12.8,16.6,0.661,20.1,4.3,2.1,6.4,0.166,1.3,-0.2,1.1,1.4,"$3,909,902","$20,000,000",,,,,,,,,,,,,,,,,,,,,,3.909902,20.0,4.027191895070551,20.0
Mike_Conley_2020,,2020.0,Mike Conley,G,UFA,UTA,"16.2 Pts, 3.5 Reb, 6.0 Ast",UTA,/players/c/conlemi01.html,175.0,6-1,33.0,UTA,51.0,51.0,29.4,0.444,2.7,0.412,6.6,2.4,0.852,2.8,0.7,3.5,6.0,1.4,0.2,1.9,16.2,23.1,0.589,19.2,4.0,2.1,6.1,0.197,3.6,1.3,4.9,2.6,"$34,504,132","$21,000,000",,,,,,,,,,,,,,,,,,,,,,34.504132,21.0,35.539192730877765,21.0
Richaun_Holmes_2020,,2020.0,Richaun Holmes,F-C,UFA,SAC,"14.2 Pts, 8.3 Reb, 1.7 Ast",SAC,/players/h/holmeri01.html,235.0,6-10,27.0,SAC,61.0,61.0,29.2,0.637,0.0,0.182,0.2,2.2,0.794,2.8,2.4,8.3,1.7,0.6,1.6,1.2,14.2,17.5,0.669,20.2,4.7,1.4,6.1,0.165,0.6,0.0,0.6,1.2,"$5,005,350","$10,384,500",,,,,,,,,,,,,,,,,,,,,,5.00535,10.3845,5.155501327652557,10.3845
Nerlens_Noel_2020,,2020.0,Nerlens Noel,C-F,UFA,NYK,"5.1 Pts, 6.4 Reb, 0.7 Ast",NYK,/players/n/noelne01.html,220.0,6-11,26.0,NYK,64.0,41,24.2,.614,0.0,.000,0.0,0.8,.714,1.1,2.2,6.4,0.7,1.1,2.2,1.0,5.1,9.2,0.638,14.8,1.6,3.6,5.2,0.162,-2.4,3.8,1.4,1.3,"$5,000,000","$8,800,000",,,,,,,,,,,,,,,,,,,,,,5.0,8.8,5.149990837456478,8.8
Kelly_Olynyk_2020,,2020.0,Kelly Olynyk,C-F,UFA,HOU,"13.5 Pts, 7.0 Reb, 2.9 Ast",DET,/players/o/olynyke01.html,240.0,6-11,29.0,TOT,70.0,62.0,28.5,0.484,1.8,0.342,5.3,2.1,0.829,2.5,1.2,7.0,2.9,1.1,0.6,1.8,13.5,19.7,0.61,16.4,2.5,2.6,5.1,0.121,0.3,0.9,1.2,1.6,"$12,819,649","$12,195,122",,,,,,,,,,,,,,,,,,,,,,12.819649,12.195122,13.204214977881621,12.195122
