,Unnamed: 0,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,CurrentSalary,CurrentTeam,ID
0,0,Precious Achiuwa,C,22,TOR,73,28,23.6,3.6,8.3,0.439,0.8,2.1,0.359,2.9,6.1,0.468,0.486,1.1,1.8,0.595,2.0,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1,0.259,6.9,2.3,-2.6,-0.6,21.7,2.1,0.217,-2.0,8.7,0.4,12.7,1.1,11.3,14.9,0.503,18.5,-0.2,2.5,0.07,"$4,379,527",TOR,/players/a/achiupr01.html
1,1,Steven Adams,C,28,MEM,76,75,26.3,2.8,5.1,0.547,0.0,0.0,0.0,2.8,5.0,0.548,0.547,1.4,2.6,0.543,4.6,5.4,10.0,3.4,0.9,0.8,1.5,2.0,6.9,0.003,16.1,2.7,2.0,1.0,22.0,3.0,0.518,1.0,17.9,3.8,17.6,1.6,19.6,19.9,0.56,12.0,2.0,6.8,0.163,"$12,600,000",MEM,/players/a/adamsst01.html
2,2,Bam Adebayo,C,24,MIA,56,56,32.6,7.3,13.0,0.557,0.0,0.1,0.0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1,0.008,17.5,2.6,3.8,2.1,26.1,3.5,0.466,1.7,8.7,3.6,21.8,2.2,14.4,17.5,0.608,25.0,2.7,7.2,0.188,"$32,600,060",MIA,/players/a/adebaba01.html
3,3,Santi Aldama,PF,21,MEM,32,0,11.3,1.7,4.1,0.402,0.2,1.5,0.125,1.5,2.6,0.56,0.424,0.6,1.0,0.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,0.364,7.7,2.5,-5.7,-1.5,16.1,0.4,0.242,-4.2,9.4,-0.1,10.2,0.8,9.9,12.6,0.452,18.4,-0.3,0.3,0.044,"$2,194,200",MEM,/players/a/aldamsa01.html
4,4,LaMarcus Aldridge,C,36,BRK,47,12,22.3,5.4,9.7,0.55,0.3,1.0,0.304,5.1,8.8,0.578,0.566,1.9,2.2,0.873,1.6,3.9,5.5,0.9,0.3,1.0,0.9,1.7,12.9,0.1,6.3,4.0,0.7,-0.6,18.7,1.0,0.223,1.3,7.8,2.1,19.6,0.6,8.0,13.4,0.604,22.4,0.7,3.1,0.141,,,
5,5,Nickeil Alexander-Walker,SG,23,TOT,65,21,22.6,3.9,10.5,0.372,1.6,5.2,0.311,2.3,5.3,0.433,0.449,1.2,1.7,0.743,0.6,2.3,2.9,2.4,0.7,0.4,1.4,1.6,10.6,0.497,16.1,1.5,-2.9,-1.1,11.5,1.1,0.16,-1.8,2.7,-1.1,10.5,1.5,11.3,7.1,0.475,24.1,-0.3,0.1,0.003,,,/players/a/alexani01.html
6,6,Nickeil Alexander-Walker,SG,23,NOP,50,19,26.3,4.7,12.6,0.375,1.9,6.1,0.311,2.8,6.5,0.434,0.45,1.4,1.9,0.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8,0.483,16.1,1.4,-3.0,-1.3,11.0,0.9,0.153,-1.7,3.0,-1.1,10.5,1.5,11.2,6.9,0.474,24.8,-0.3,-0.1,-0.005,,,/players/a/alexani01.html
7,7,Nickeil Alexander-Walker,SG,23,UTA,15,2,9.9,1.1,3.2,0.333,0.7,2.2,0.303,0.4,1.0,0.4,0.438,0.7,0.8,0.917,0.1,1.5,1.5,1.1,0.3,0.3,0.5,1.0,3.5,0.688,15.5,2.4,-1.7,1.2,15.6,0.2,0.25,-2.9,0.8,0.0,10.2,1.7,13.1,8.5,0.497,17.9,0.0,0.2,0.07,,,/players/a/alexani01.html
8,8,Grayson Allen,SG,26,MIL,66,61,27.3,3.9,8.6,0.448,2.4,5.9,0.409,1.5,2.7,0.533,0.588,1.0,1.1,0.865,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1,0.684,7.6,1.0,0.4,-0.2,10.9,1.4,0.13,0.6,1.9,2.8,12.7,1.2,6.7,6.5,0.609,15.2,1.1,4.2,0.11,"$8,500,000",MIL,/players/a/allengr01.html
9,9,Jarrett Allen,C,23,CLE,56,56,32.3,6.6,9.7,0.677,0.0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1,0.018,8.2,3.7,3.9,1.2,24.5,3.0,0.428,2.7,12.0,5.4,23.0,1.2,12.7,18.4,0.698,18.1,2.7,8.5,0.224,"$20,000,000",CLE,/players/a/allenja01.html
10,10,Jose Alvarado,PG,23,NOP,54,1,15.4,2.4,5.4,0.446,0.6,2.0,0.291,1.8,3.4,0.538,0.5,0.7,1.0,0.679,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,6.1,0.374,26.9,0.8,1.9,2.4,10.2,1.1,0.18,-0.5,3.2,1.0,16.4,4.2,11.2,6.6,0.52,18.4,0.8,2.1,0.121,"$1,836,096",NOP,/players/a/alvarjo01.html
11,11,Justin Anderson,SF,28,TOT,16,6,19.8,2.3,5.9,0.379,0.9,3.7,0.254,1.3,2.3,0.583,0.458,0.9,1.2,0.789,0.3,2.6,2.9,2.1,0.5,0.4,0.5,1.4,6.4,0.621,14.2,1.7,-3.2,-1.3,15.0,0.2,0.2,-1.9,1.4,0.2,10.4,1.2,7.2,8.1,0.493,15.1,-0.1,0.4,0.054,,,
